z,district,schoolid,sd10a_base,sd10b_base,sd10c_base,sd10d_base,sd10e_base,sd10f_base,sd10g_base,sd10h_base,z_ses_indonesian_base,z_ses_math_base,z_ses_natscience_base,z_ses_socscience_base,girl,quiet_study,z_effort_base,z_belonging_base,z_selfesteem_base,z_perfgoal_base,z_perseverance_base,z_growthm_base,z_learngoal_base,urban,teach_growthm_base,teach_fail_enhance_base,teach_self_efficacy_base,z_nes_school_mean_base
1,7,101885,1,0,1,1,1,1,0,0,0.011463435556489342,-0.934286066326756,0.06576851268690988,-1.1393972150001832,1,-0.34438868010088847,-0.1394685523859095,0.6314604989887566,1.0850461446541622,-0.32142841774100983,-1.4679688051798152,-0.5550921407991884,-0.00824715896555335,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,0,1,1,1,1,0,1,1.2261436973737239,-0.6420922508495095,1.5140613592852206,0.427458450764283,1,-0.34438868010088847,0.33450001232535714,-0.07835450583989341,0.31564449355973273,1.1852267809584516,1.3898877282645303,-0.24907429477304216,0.5672750099534821,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,0,0,0,1,1,0,1,1.2261436973737239,-0.6420922508495095,1.16325262181265,0.427458450764283,1,-0.34438868010088847,-0.1394685523859095,0.27655349778699007,-0.06905630953004825,1.1852267809584516,-0.24317317146620673,-1.4731455308373649,0.5672750099534821,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,0,1,1,1,1,1,1,1.2261436973737239,-0.2038014998849128,-0.09515291552492071,-0.44301687987604427,0,-0.34438868010088847,0.33450001232535714,0.27655349778699007,0.7003453340785698,0.8085628914889799,0.5733572559894649,-0.24907429477304216,1.142798003626478,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,0,1,1,1,1,1,1,-0.3355880949667166,-0.934286066326756,-0.2560743510449158,-1.1393972150001832,0,-0.34438868010088847,-0.6134374161821927,0.9863675304524134,-0.4537571275914517,1.1852267809584516,0.16509204973152805,-1.4731455308373649,1.142798003626478,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,1,1,1,1,1,1,1,1.3996694588347673,-0.6420922508495095,0.548532790014237,-1.1393972150001832,0,-0.34438868010088847,0.33450001232535714,0.6314604989887566,1.0850461446541622,1.561890251386427,0.16509204973152805,-2.0851812821057627,0.5672750099534821,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,1,1,1,1,1,0,1,-0.3355880949667166,-0.934286066326756,-0.8997600931248965,-1.1393972150001832,0,-0.34438868010088847,-1.5613745156962244,-0.07835450583989341,-1.2231587187993913,1.561890251386427,-1.4679688051798152,-0.24907429477304216,1.142798003626478,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,1,1,1,1,1,1,1,0.011463435556489342,-0.6420922508495095,0.22668994820690505,-0.6171119342354635,1,-0.34438868010088847,-1.5613745156962244,-0.43326150325892365,-0.838457908223799,0.4318992115402563,-0.24317317146620673,-1.167127714419271,0.5672750099534821,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,1,1,1,1,1,0,0,0.3585149508774575,-0.934286066326756,-0.2560743510449158,-1.1393972150001832,0,-0.34438868010088847,-0.6134374161821927,0.6314604989887566,1.0850461446541622,0.8085628914889799,0.5733572559894649,-0.5550921407991884,0.5672750099534821,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,0,0,1,1,1,0,0,0.011463435556489342,-0.934286066326756,1.1922185613268759,0.427458450764283,1,-0.34438868010088847,0.8084689209843929,1.6961825617602175,1.4697468953432644,1.561890251386427,1.798152964402063,-1.7791633472554587,1.142798003626478,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
1,7,101885,1,0,1,1,1,1,0,0,1.2261436973737239,0.08839233640387882,0.709454247458726,0.25336338169405603,1,-0.34438868010088847,-0.6134374161821927,0.6314604989887566,-0.838457908223799,0.055235262207713756,0.5733572559894649,-1.167127714419271,0.5672750099534821,1,-0.1828891285359383,0.08360486266253755,0.24266391897237174,-0.17458067144698314
